,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
189,2018 Maruti Vitara Brezza VDI MANUAL,"792,399",Non-Accidental,"20,713 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-5C-P-x-xxxx,February 2018,"20,713km (19 Jan 2022)"
190,2016 Maruti Swift Dzire VDI ABS ,"527,699",Non-Accidental,"58,123 km",NA,Valid upto Jan 20233rd Party,2nd Owner,Diesel,HR-90-8-x-xxxx,June 2016,"58,123km (01 Nov 2021)"
191,2020 Maruti S PRESSO VXI PLUS MANUAL,"452,799",Non-Accidental,"15,934 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,HR-19-Q-x-xxxx,July 2020,"15,934km (03 Jan 2022)"
192,2019 Ford Ecosport TREND + 1.5 TI VCT AT MANUAL,"860,699",Non-Accidental,"24,435 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,UP-16-C-x-xxxx,January 2019,"24,435km (04 Jan 2022)"
193,2019 Ford Ecosport TITANIUM PLUS 1.5 TI VCT MT ,"911,999",Non-Accidental,"14,623 km",NA,Valid upto Jan 20233rd Party,1st Owner,Petrol,HR-26-D-x-xxxx,January 2019,"14,623km (28 Dec 2021)"
194,2018 Maruti Vitara Brezza VDI OPT MANUAL,"771,899",Non-Accidental,"36,807 km",MANUAL,Valid upto May 2022Comp,1st Owner,Diesel,UP-16-B-x-xxxx,March 2018,"36,807km (24 Dec 2021)"
195,2018 Maruti Vitara Brezza VDI MANUAL,"750,799",Non-Accidental,"26,505 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,HR-87-C-x-xxxx,November 2018,"26,505km (25 Oct 2021)"
196,2018 Maruti Vitara Brezza ZDI MANUAL,"753,599",Non-Accidental,"54,687 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-8C-A-x-xxxx,January 2018,"54,687km (15 Nov 2021)"
197,2019 Maruti Vitara Brezza VDI MANUAL,"786,599",Non-Accidental,"49,708 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-3C-C-x-xxxx,January 2019,"49,708km (21 Oct 2021)"
198,2019 Maruti Vitara Brezza VDI MANUAL,"778,199",Non-Accidental,"75,243 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,UP-16-C-x-xxxx,February 2019,"75,243km (17 Jan 2022)"
199,2019 Maruti Vitara Brezza VDI MANUAL,"787,899",Non-Accidental,"52,300 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-8C-A-x-xxxx,May 2019,"52,300km (14 Jan 2022)"
200,2014 Maruti Swift Dzire VDI BS IV MANUAL,"394,099",Non-Accidental,"87,119 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,DL-4C-A-x-xxxx,January 2014,"87,119km (07 Nov 2021)"
201,2012 Maruti Swift VDI MANUAL,"306,599",Non-Accidental,"120,326 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,DL-9C-A-x-xxxx,November 2012,"120,326km (09 Nov 2021)"
202,2013 Maruti Swift VDI MANUAL,"317,099",Non-Accidental,"78,932 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,DL-2C-A-x-xxxx,April 2013,"78,932km (22 Dec 2021)"
203,2019 Maruti Vitara Brezza VDI MANUAL,"794,899",Non-Accidental,"33,968 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,UP-16-C-x-xxxx,February 2019,"33,968km (29 Dec 2021)"
