,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
258,2018 Hyundai Grand i10 SPORTS 1.2 VTVT MANUAL,"540,399",Non-Accidental,"14,840 km",MANUAL,Valid upto Jul 2022Comp,1st Owner,Petrol,MH-48-A-x-xxxx,June 2018,"14,840km (27 Dec 2021)"
259,2018 Maruti Alto K10 VXI (O) AMT MANUAL,"401,099",Non-Accidental,"14,908 km",MANUAL,Valid upto Jan 20233rd Party,3rd Owner,Petrol,MH-14-G-x-xxxx,June 2018,"14,908km (13 Nov 2021)"
260,2017 Maruti Alto 800 LXI MANUAL,"320,999",Non-Accidental,"15,575 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-12-P-x-xxxx,July 2017,"15,575km (31 Oct 2021)"
261,2015 Skoda Superb ELEGANCE 1.8 TSI MT MANUAL,"794,599",Non-Accidental,"54,465 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-03-B-x-xxxx,April 2015,"54,465km (09 Dec 2021)"
262,2015 Maruti Wagon R 1.0 VXI MANUAL,"371,499",Non-Accidental,"20,579 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-05-C-x-xxxx,March 2015,"20,579km (13 Jan 2022)"
263,2017 Maruti Swift VXI LIMITED EDITION MANUAL,"489,699",Non-Accidental,"28,108 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-05-D-x-xxxx,October 2017,"28,108km (13 Jan 2022)"
264,2014 Honda Amaze 1.5 SMT I DTEC MANUAL,"409,899",Non-Accidental,"80,958 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-04-G-x-xxxx,March 2014,"80,958km (27 Dec 2021)"
265,2017 Toyota Fortuner 2.8 4x2 MT MANUAL,"2,206,899",Non-Accidental,"45,399 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-02-E-x-xxxx,October 2017,"45,399km (29 Oct 2021)"
266,2014 Volkswagen Polo HIGHLINE1.2L PETROL MANUAL,"455,899",Non-Accidental,"54,781 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-12-L-x-xxxx,June 2014,"54,781km (29 Dec 2021)"
267,2015 BMW 3 Series 320D LUXURYLINE AUTOMATIC,"1,393,199",Non-Accidental,"95,239 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-43-A-x-xxxx,June 2015,"95,239km (15 Jan 2022)"
268,2017 Maruti Ertiga ZDI PLUS SHVS MANUAL,"855,299",Non-Accidental,"40,062 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,MH-48-A-x-xxxx,June 2017,"40,062km (30 Nov 2021)"
269,2014 Maruti Alto 800 LXI MANUAL,"244,299",Non-Accidental,"114,574 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,MH-12-L-x-xxxx,September 2014,"114,574km (08 Oct 2021)"
270,2017 Maruti Ertiga ZDI PLUS SHVS MANUAL,"860,299",Non-Accidental,"15,427 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-01-C-x-xxxx,December 2017,"15,427km (28 Dec 2021)"
271,2013 Maruti Ertiga ZDI MANUAL,"499,599",Non-Accidental,"160,852 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,MH-02-C-x-xxxx,March 2013,"160,852km (15 Jan 2022)"
272,2014 Ford Ecosport 1.5 TITANIUM TI VCT AT AUTOMATIC,"563,799",Non-Accidental,"42,768 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-04-G-x-xxxx,November 2014,"42,768km (15 Dec 2021)"
273,2015 Hyundai Creta 1.6 SX (O) CRDI MANUAL,"782,699",Non-Accidental,"99,645 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-05-C-x-xxxx,July 2015,"99,645km (30 Nov 2021)"
274,2014 Toyota Corolla Altis  VL AT AUTOMATIC,"941,799",Non-Accidental,"60,686 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-12-L-x-xxxx,July 2014,"60,686km (23 Dec 2021)"
275,2015 Hyundai Elite i20 MAGNA 1.4 CRDI MANUAL,"529,299",Non-Accidental,"42,107 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-05-C-x-xxxx,December 2015,"42,107km (12 Nov 2021)"
276,2014 Honda Amaze 1.5 SMT I DTEC MANUAL,"419,499",Non-Accidental,"93,230 km",MANUAL,Valid upto Jul 2022Comp,1st Owner,Diesel,MH-14-E-x-xxxx,June 2014,"93,230km (05 Jan 2022)"
277,2019 Renault TRIBER 1.0 RXZ  MANUAL,"649,699",Non-Accidental,"25,688 km",MANUAL,Valid upto Oct 2022Third_party,1st Owner,Petrol,MH-14-H-x-xxxx,September 2019,"25,688km (28 Oct 2021)"
278,2014 Maruti Celerio VXI  MANUAL,"375,799",Non-Accidental,"14,283 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-31-E-x-xxxx,September 2014,"14,283km (23 Dec 2021)"
279,2017 Maruti Baleno ZETA DDIS 190  MANUAL,"588,699",Non-Accidental,"100,623 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,MH-14-G-x-xxxx,May 2017,"100,623km (17 Jan 2022)"
280,2013 Hyundai i20 SPORTZ 1.2 VTVT MANUAL,"433,599",Non-Accidental,"81,549 km",MANUAL,Valid upto Aug 2022Comp,1st Owner,Petrol,MH-12-J-x-xxxx,May 2013,"81,549km (18 Dec 2021)"
281,2016 Maruti Wagon R 1.0 VXI AMT AUTOMATIC,"366,999",Non-Accidental,"46,629 km",AUTOMATIC,Valid upto Jan 20233rd Party,1st Owner,Petrol,MH-47-K-x-xxxx,June 2016,"46,629km (04 Jan 2022)"
282,2015 Hyundai Eon ERA PLUS MANUAL,"318,799",Non-Accidental,"20,745 km",MANUAL,Valid upto Jul 2022Third_party,1st Owner,Petrol,MH-46-A-x-xxxx,September 2015,"20,745km (03 Jan 2022)"
283,2017 Maruti Alto 800 LXI MANUAL,"334,199",Non-Accidental,"10,049 km",MANUAL,Valid upto May 2022Comp,1st Owner,Petrol,MH-47-W-x-xxxx,February 2017,"10,049km (21 Dec 2021)"
284,2011 Volkswagen Vento HIGHLINE DIESEL MANUAL,"307,199",Non-Accidental,"171,568 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,MH-03-A-x-xxxx,June 2011,"171,568km (19 Jan 2022)"
