,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
153,2019 Hyundai NEW SANTRO ASTA 1.1 MT MANUAL,"525,899",Non-Accidental,"3,616 km",MANUAL,Valid upto May 2022Third_party,1st Owner,Petrol,WB-10-A-x-xxxx,April 2019,
154,2012 Maruti Alto K10 VXI  MANUAL,"225,799",Non-Accidental,"27,650 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,WB-02-A-x-xxxx,December 2012,"27,650km (03 Nov 2021)"
155,2012 Maruti Alto K10 LXI MANUAL,"229,399",Non-Accidental,"29,621 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,WB-02-A-x-xxxx,January 2012,"29,621km (07 Jan 2022)"
156,2015 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT MANUAL,"367,899",Non-Accidental,"34,679 km",MANUAL,Valid upto Apr 2022Third_party,1st Owner,Petrol,WB-26-T-x-xxxx,January 2015,"34,679km (28 Dec 2021)"
157,2013 Maruti Wagon R 1.0 VXI MANUAL,"306,399",Non-Accidental,"20,797 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-12-C-x-xxxx,June 2013,"20,797km (29 Dec 2021)"
158,2020 Renault Kwid 1.0 RXT Opt MANUAL,"433,799",Non-Accidental,"14,632 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-26-B-x-xxxx,November 2020,"14,632km (12 Jan 2022)"
159,2012 Maruti Alto K10 LXI MANUAL,"227,099",Non-Accidental,"1,609 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-24-R-x-xxxx,January 2012,"1,609km (03 Nov 2021)"
160,2012 Maruti Alto K10 VXI  MANUAL,"228,199",Non-Accidental,"36,989 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-02-A-x-xxxx,January 2012,"36,989km (20 Dec 2021)"
161,2014 Hyundai Grand i10 ASTA 1.2 (O) VTVT MANUAL,"444,199",Non-Accidental,"67,993 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,WB-02-A-x-xxxx,April 2014,"67,993km (11 Dec 2021)"
162,2015 Maruti Wagon R 1.0 VXI MANUAL,"339,299",Non-Accidental,"26,359 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,JH-05-B-x-xxxx,June 2015,"26,359km (02 Nov 2021)"
