,Car Model,Price,History,Kilometers Driven,Transmission,Insurance,Owner,Fuel Type,Registration,Year of Purchase,Last Service
70,2018 Ford Ecosport 1.5 TDCI TITANIUM PLUS MANUAL,"778,799",Non-Accidental,"95,720 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-01-H-x-xxxx,January 2018,"95,720km (01 Jan 2022)"
71,2018 Hyundai Elite i20 SPORTZ 1.2 MANUAL,"629,999",Non-Accidental,"35,297 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,GJ-12-D-x-xxxx,December 2018,"35,297km (13 Nov 2021)"
72,2017 Maruti Baleno ALPHA DDIS 190  MANUAL,"592,899",Non-Accidental,"76,186 km",MANUAL,Valid upto Jul 2022Zero_Dep,1st Owner,Diesel,GJ-05-R-x-xxxx,July 2017,"76,186km (03 Dec 2021)"
73,2016 Hyundai Creta 1.6 SX CRDI MANUAL,"787,999",Non-Accidental,"132,350 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,GJ-01-R-x-xxxx,April 2016,"132,350km (03 Jan 2022)"
74,2017 Maruti Baleno DELTA DDIS 190  MANUAL,"569,799",Non-Accidental,"60,422 km",MANUAL,Valid upto May 2022Zero_Dep,1st Owner,Diesel,GJ-02-C-x-xxxx,April 2017,"60,422km (27 Dec 2021)"
75,2016 Maruti Swift ZDI MANUAL,"512,899",Non-Accidental,"104,024 km",MANUAL,Valid upto Jun 2022Comp,1st Owner,Diesel,GJ-16-B-x-xxxx,May 2016,"104,024km (10 Jan 2022)"
76,2017 Maruti Baleno DELTA DDIS 190  MANUAL,"555,099",Non-Accidental,"83,204 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-27-B-x-xxxx,November 2017,"83,204km (30 Dec 2021)"
77,2017 Maruti Baleno DELTA DDIS 190  MANUAL,"605,999",Non-Accidental,"41,223 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-05-J-x-xxxx,April 2017,"41,223km (30 Dec 2021)"
78,2018 Ford Ecosport 1.5 TDCI TITANIUM PLUS MANUAL,"792,699",Non-Accidental,"58,632 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-12-D-x-xxxx,January 2018,"58,632km (09 Nov 2021)"
79,2018 Ford Ecosport 1.5TITANIUM TDCI MANUAL,"768,399",Non-Accidental,"131,657 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-01-H-x-xxxx,January 2018,"131,657km (07 Jan 2022)"
80,2017 Maruti Swift VDI ABS MANUAL,"481,999",Non-Accidental,"120,109 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-18-B-x-xxxx,May 2017,"120,109km (30 Oct 2021)"
81,2018 Ford Ecosport 1.5TITANIUM TDCI MANUAL,"782,499",Non-Accidental,"44,229 km",MANUAL,Valid upto Jun 2022Zero_Dep,1st Owner,Diesel,GJ-05-R-x-xxxx,January 2018,"44,229km (04 Jan 2022)"
82,2017 Maruti Baleno DELTA 1.2 K12  MANUAL,"566,199",Non-Accidental,"41,383 km",MANUAL,Valid upto Aug 2022Zero_Dep,2nd Owner,Petrol,GJ-01-R-x-xxxx,March 2017,"41,383km (29 Dec 2021)"
83,2018 Maruti Swift VDI MANUAL,"586,399",Non-Accidental,"74,382 km",MANUAL,Valid upto May 2022Zero_Dep,1st Owner,Diesel,GJ-01-H-x-xxxx,January 2018,"74,382km (12 Nov 2021)"
84,2017 Maruti Baleno DELTA DDIS 190  MANUAL,"550,399",Non-Accidental,"73,016 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Diesel,GJ-38-B-x-xxxx,April 2017,"73,016km (02 Jan 2022)"
85,2018 Maruti S Cross ZETA 1.3 SHVS MANUAL,"958,199",Non-Accidental,"19,899 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-01-H-x-xxxx,March 2018,"19,899km (29 Dec 2021)"
86,2018 Maruti Dzire VXI MANUAL,"655,299",Non-Accidental,"26,872 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-01-H-x-xxxx,October 2018,"26,872km (06 Jan 2022)"
87,2020 Mahindra MARAZZO M6 8 STR MANUAL,"1,129,399",Non-Accidental,"25,613 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Diesel,GJ-01-K-x-xxxx,January 2020,"25,613km (31 Dec 2021)"
88,2017 Maruti Baleno DELTA 1.2 K12  MANUAL,"578,799",Non-Accidental,"61,989 km",MANUAL,Valid upto Jul 2022Comp,2nd Owner,Petrol,GJ-18-B-x-xxxx,November 2017,"61,989km (02 Dec 2021)"
89,2017 Hyundai Eon MAGNA PLUS MANUAL,"290,999",Non-Accidental,"46,703 km",MANUAL,Valid upto Jan 20233rd Party,2nd Owner,Petrol,GJ-05-R-x-xxxx,May 2017,"46,703km (13 Nov 2021)"
90,2020 Hyundai Xcent S 1.2 MANUAL,"641,799",Non-Accidental,"32,118 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol,GJ-21-C-x-xxxx,January 2020,"32,118km (11 Jan 2022)"
91,2018 Maruti Baleno DELTA 1.2 K12  MANUAL,"590,299",Non-Accidental,"132,012 km",MANUAL,Valid upto Jan 20233rd Party,1st Owner,Petrol + CNG,GJ-01-H-x-xxxx,January 2018,"132,012km (03 Nov 2021)"
92,2020 Hyundai AURA SX+ AT  AUTOMATIC,"741,099",Non-Accidental,"16,013 km",AUTOMATIC,Valid upto Feb 2023Zero_Dep,1st Owner,Petrol,GJ-01-K-x-xxxx,January 2020,"16,013km (17 Jan 2022)"
